invest,dir_like,time,film_fb_like,IMDB,Box_office,Action,Adventure,Comedy,Crime,Documentary,Drama,Family,Fantasy,Horror,Music,Mystery,Romance,Sci-Fi,Thriller,War,Western
1500000,0,87,0,8.6,163245,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
250000000,22000,164,164000,8.5,448130642,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103000000,0,171,21000,8.5,187670866,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
102000000,0,153,13000,8.5,204843350,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100000000,16000,165,199000,8.5,162804648,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
90000000,17000,151,29000,8.5,132373442,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
45000000,28,73,17000,8.5,422783777,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
60000000,0,189,30000,8.5,136801374,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
40000000,22000,130,49000,8.5,53082743,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
35000000,2000,150,21000,8.5,32519322,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
31500000,0,289,19000,8.5,78800000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
18000000,14000,115,16000,8.5,242374454,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806947,13000,108,18000,8.5,32000000,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
19000000,0,116,39000,8.5,210609762,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
11000000,0,116,23000,8.5,78900000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
9000000,22000,113,40000,8.5,25530884,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
4000000,330,102,26000,8.5,2601847,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2000000,207,137,39000,8.5,11284657,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
180000,373,89,0,8.5,925402,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
180000000,475,98,16000,8.4,223806889,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
72000000,0,178,17000,8.4,75600000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
77000000,0,122,39000,8.4,33201661,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
32500000,37,134,14000,8.4,309125409,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
30000000,0,251,12000,8.4,5300000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2400000000,6000,134,11000,8.4,2298191,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18500000,0,154,18000,8.4,85200000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15000000,0,122,22000,8.4,130058047,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15000000,767,227,11000,8.4,6000000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
14000000,249,293,11000,8.4,11433134,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
4500000,0,102,38000,8.4,3609278,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3000000,0,120,43000,8.4,2181290,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1200000,16000,99,19000,8.4,2812029,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
500000,0,123,48000,8.4,7098492,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
200000000,125,103,30000,8.3,414984497,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
175000000,0,96,27000,8.3,292979556,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
175000000,0,95,118000,8.3,356454367,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
150000000,22000,128,15000,8.3,205343774,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75000000,16000,153,42000,8.3,120523073,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
48000000,14000,127,0,8.3,197171806,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35000000,161,138,11000,8.3,64604977,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
30000000,487,74,0,8.3,191796233,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
25000000,0,142,19000,8.3,44700000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20000000,1000,108,52000,8.3,34126138,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
18000000,869,180,16000,8.3,51600000,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
18000000,17000,121,0,8.3,45250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6000000,756,145,12000,8.3,26435,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
14400000,16000,131,10000,8.3,101157447,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6000000,0,104,27000,8.3,30093107,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12000000,0,161,24000,8.3,56715371,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10000000,835,126,31000,8.3,138339411,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5500000,131,129,0,8.3,159600000,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2883848,0,120,10000,8.3,25000000,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
700000,23,170,0,8.3,7830611,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
229575,0,91,14000,8.3,1229197,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
250000000,94,147,72000,8.2,407197282,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
165000000,255,98,33000,8.2,217387997,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
100000000,17000,240,138000,8.2,116866727,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
94000000,475,100,11000,8.2,380838870,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
58000000,2000,135,29000,8.2,170708996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52000000,17000,178,11000,8.2,42438300,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
54000000,160,132,48000,8.2,70496802,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
15000000,0,109,23000,8.2,13782838,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
28000000,323,131,25000,8.2,81350242,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28000000,0,117,34000,8.2,27000000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
33000000,16000,116,28000,8.2,148085755,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25000000,149,140,77000,8.2,13651662,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24000000,6000,119,13000,8.2,4710455,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
15000000,0,148,76000,8.2,18352454,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13500000,0,112,27000,8.2,37623143,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
15000000,0,117,35000,8.2,17439163,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6800000,777,139,37000,8.2,6857096,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
3977000,149,226,16000,8.2,198655278,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
960000,0,120,21000,8.2,3650677,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1000000,50,96,20000,8.2,484221,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
910000,603,108,0,8.2,9600000,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
220000000,0,173,123000,8.1,623279547,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
170000000,571,121,96000,8.1,333130696,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
150000000,750,120,191000,8.1,153629485,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
135000000,0,156,190000,8.1,183635922,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
110000000,521,115,0,8.1,227137090,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
140000000,563,143,10000,8.1,305388685,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
115000000,0,92,0,8.1,289907418,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
108000000,0,151,153000,8.1,228430993,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
63000000,14000,127,19000,8.1,356784000,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
61000000,21000,149,146000,8.1,167735396,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
60000000,608,103,18000,8.1,125603360,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
58000000,84,108,117000,8.1,363024263,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
30000000,16000,111,13000,8.1,70098138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46000000,777,153,86000,8.1,60962878,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
40000000,0,107,14000,8.1,293501675,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
40000000,436,147,13000,8.1,74098862,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
38000000,2000,123,83000,8.1,26903709,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25000000,0,99,149000,8.1,59073773,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
25000000,150,146,75000,8.1,169705587,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25000000,1000,122,21000,8.1,74273505,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
25000000,0,158,16000,8.1,40218903,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20000000,0,134,83000,8.1,56667870,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20000000,310,128,80000,8.1,44988180,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
17500000,83,121,12000,8.1,23472900,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
14000000,77,114,165000,8.1,91121452,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
16000000,0,98,33000,8.1,30857814,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
14600000,11000,101,38000,8.1,70906973,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
12800000,16,148,0,8.1,1110186,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
8000000,0,89,24000,8.1,52287414,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1100000000,78,124,0,8.1,439162,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4000000,294,115,11000,8.1,8060,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
6500000,0,107,13000,8.1,38400000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6000000,0,120,9000,8.1,137963328,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6000000,131,110,0,8.1,102308900,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4500000,219,133,33000,8.1,727883,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
4000000,11000,93,0,8.1,39200000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2800000,149,102,14000,8.1,22202612,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2500000,0,105,22000,8.1,5400000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2100000,355,172,0,8.1,23650000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2000000,0,115,11000,8.1,5383834,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2000000,90,100,0,8.1,1134049,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1300000,346,105,5000,8.1,1647780,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
960000,80,145,0,8.1,117235247,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
600000,14,215,0,8.1,13300000,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
200000000,0,149,82000,8,233914986,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
150000000,663,111,10000,8,206435493,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
150000000,14000,127,19000,8,257704099,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120000000,0,127,122000,8,124976634,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
150000000,258,144,0,8,167007184,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100000000,380,143,14000,8,57366262,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
92000000,663,115,0,8,261437578,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
88000000,2000,144,0,8,61644321,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70000000,13000,125,26000,8,66257002,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
55000000,125,117,32000,8,162586036,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30000000,16000,137,0,8,66207920,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
52000000,14000,141,15000,8,164435221,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
70000000,663,90,0,8,23159305,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
40000000,0,206,0,8,70405498,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
40000000,0,119,14000,8,25335935,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
37000000,0,188,13000,8,22450975,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35000000,138,330,6000,8,4496583,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
28000000,63,90,0,8,217350219,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0
25000000,272,133,12000,8,172825435,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23000000,0,126,148000,8,25556065,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
22000000,0,236,0,8,184208848,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16400000,608,128,23000,8,95860116,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
15000000,405,100,30000,8,44667095,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
15000000,0,118,64000,8,138795342,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
15000000,0,142,16000,8,9929000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
15000000,454,107,32000,8,7757130,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
15000000,0,147,16000,8,7219578,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
15000000,0,120,13000,8,141319195,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13000000,12000,121,15000,8,12281500,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
12800000,3000,140,0,8,4157491,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
8000000,607,132,18000,8,204565000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8000000,14000,130,21000,8,260000000,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
150000000,258,144,0,8,167007184,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11000000,767,200,7000,8,111722000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
10000000,0,112,0,8,6197866,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9000000,278,181,0,8,50000000,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
9000000,909,123,0,8,24530513,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12000000,160,128,27000,8,4018695,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8200000,338,174,15000,8,163214286,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
7300000,10,89,14000,8,4443403,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5000000,212,117,65000,8,27296514,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4000000,1000,99,19000,8,13464388,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
890000,0,148,0,8,24475416,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4000000,0,165,92000,8,25359200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2900000,179,113,0,8,5595428,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2800000,0,106,14000,8,86300000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2700000,0,80,13000,8,5792822,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1500000,56,90,0,8,2283276,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
200000,0,99,0,8,3500000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
237000000,0,178,33000,7.9,760505847,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
225000000,0,186,83000,7.9,258355354,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
140000000,4000,126,10000,7.9,318298180,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
178000000,218,113,77000,7.9,100189501,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
165000000,38,102,41000,7.9,222487711,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
145000000,255,102,46000,7.9,176997107,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
90000000,487,82,0,7.9,245823397,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
76000000,0,109,17000,7.9,35286428,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
68000000,0,157,0,7.9,28965197,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
44000000,16000,187,114000,7.9,54116191,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
60000000,218,119,0,7.9,121468960,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
60000000,488,152,15000,7.9,32522352,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
55000000,521,134,65000,7.9,107100855,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
60000000,80,90,0,7.9,267652016,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
31000000,611,80,0,7.9,84961,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18000000,380,122,0,7.9,26830000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
28000000,446,153,11000,7.9,119518352,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
28000000,473,167,76000,7.9,161029270,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
27000000,644,148,14000,7.9,54200000,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
27000000,133,193,0,7.9,21500000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25000000,180,93,29000,7.9,145000989,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25000000,0,119,0,7.9,76270454,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
25000000,79,127,11000,7.9,5128124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20000000,13000,105,16000,7.9,56362352,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
18000000,380,122,0,7.9,26830000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
18000000,13000,127,0,7.9,5887457,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
17000000,165,170,0,7.9,72000000,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
300000,0,101,12000,7.9,47000000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
8000000,1000,121,17000,7.9,23618786,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15000000,0,120,0,7.9,128067808,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
11500000,133,134,0,7.9,22954968,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
15000000,0,155,0,7.9,26384919,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9600000,2,80,0,7.9,71442,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
25000000,737,116,36000,7.9,93571803,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10500000,14000,120,34000,7.9,434949459,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
6500000,549,115,18000,7.9,54557348,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
8900000,0,127,33000,7.9,225377,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
8500000,66,117,65000,7.9,32279955,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
8000000,36,101,15000,7.9,59889948,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6000000,0,109,10000,7.9,26236603,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5500000,25,97,0,7.9,3629758,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6500000,0,120,0,7.9,27545445,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5000000,0,97,47000,7.9,5009677,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1500000,44,114,0,7.9,1221261,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
4000000,9,112,0,7.9,375723,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
590000,163,113,14000,7.9,1185783,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
180000,109,85,26000,7.9,9437933,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
260000000,15,100,29000,7.8,200807262,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0
200000000,0,143,80000,7.8,304360277,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
190000000,14000,132,92000,7.8,228756232,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
175000000,4000,106,65000,7.8,362645141,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
170000000,94,136,55000,7.8,259746958,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
165000000,66,101,40000,7.8,189412677,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
150000000,21000,166,23000,7.8,127490802,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
160000000,905,132,54000,7.8,146405371,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130000000,0,142,11000,7.8,249358727,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
100000000,0,91,147000,7.8,274084951,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
100000000,0,176,0,7.8,130127620,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
90000000,21000,158,54000,7.8,102515793,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
40000000,63,104,0,7.8,19406406,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
81200000,54,108,31000,7.8,1339152,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
60000000,97,100,64000,7.8,257756197,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
55000000,16000,141,14000,7.8,35707327,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
50000000,21000,129,25000,7.8,48265581,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
55000000,446,122,0,7.8,53574088,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
44000000,99,130,0,7.8,183875760,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
40000000,0,108,12000,7.8,118500000,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
40000000,0,134,40000,7.8,102310175,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
40000000,0,117,0,7.8,72455275,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
40000000,0,139,14000,7.8,50859889,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
40000000,0,87,15000,7.8,20999103,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
36000000,487,106,17000,7.8,12339633,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
35000000,480,108,24000,7.8,277313371,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35000000,179,147,0,7.8,41954997,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
30000000,132,120,0,7.8,115648585,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28000000,285,130,99000,7.8,70235322,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
28000000,456,135,17000,7.8,38372662,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
175000000,4000,106,65000,7.8,362645141,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
27000000,118,110,10000,7.8,22494487,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
26000000,0,107,16000,7.8,45506619,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
25000000,170,134,11000,7.8,56505065,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
